Project,sha,class_,method,Found
spring-boot,6df001d30f6a53436872d8a583a26fe322d74b43,org.springframework.boot.cli.util.ResourceUtilsTests,nonexistentClasspathResource,2
spring-boot,6df001d30f6a53436872d8a583a26fe322d74b43,org.springframework.boot.cli.util.ResourceUtilsTests,recursiveFiles,2
spring-boot,6df001d30f6a53436872d8a583a26fe322d74b43,org.springframework.boot.cli.util.ResourceUtilsTests,recursiveFilesByPattern,2
spring-boot,6df001d30f6a53436872d8a583a26fe322d74b43,org.springframework.boot.cli.util.ResourceUtilsTests,recursiveFilesByPatternWithPrefix,2
spring-boot,7e5bb9697c0c0b64e05e6d77810c74477873c903,org.springframework.boot.cli.SampleIntegrationTests,appSample,1
spring-boot,7e5bb9697c0c0b64e05e6d77810c74477873c903,org.springframework.boot.cli.SampleIntegrationTests,caching,2
spring-boot,7e5bb9697c0c0b64e05e6d77810c74477873c903,org.springframework.boot.cli.SampleIntegrationTests,integrationSample,2
spring-boot,7e5bb9697c0c0b64e05e6d77810c74477873c903,org.springframework.boot.cli.SampleIntegrationTests,jmsSample,2
spring-boot,7e5bb9697c0c0b64e05e6d77810c74477873c903,org.springframework.boot.cli.SampleIntegrationTests,jobSample,2
spring-boot,7e5bb9697c0c0b64e05e6d77810c74477873c903,org.springframework.boot.cli.SampleIntegrationTests,reactorSample,1
spring-boot,7e5bb9697c0c0b64e05e6d77810c74477873c903,org.springframework.boot.cli.SampleIntegrationTests,txSample,2
spring-boot,8023ddd0c272d62c2cebc94e39a8e19940736ce4,org.springframework.boot.cli.ReproIntegrationTests,jarFileExtensionNeeded,2
spring-boot,884c058e573ff3bf3824aea414f56485d514d00d,org.springframework.boot.cli.compiler.grape.AetherGrapeEngineTests,dependencyResolution,2
spring-boot,884c058e573ff3bf3824aea414f56485d514d00d,org.springframework.boot.cli.compiler.grape.AetherGrapeEngineTests,dependencyResolutionWithCustomClassLoader,2
spring-boot,884c058e573ff3bf3824aea414f56485d514d00d,org.springframework.boot.cli.compiler.grape.AetherGrapeEngineTests,dependencyResolutionWithExclusions,2
spring-boot,91fb4f22bdef6324110fcfc57bbecdf1f3e149b0,org.springframework.boot.cli.TestCommandIntegrationTests,appAndTestsInOneFile,1
spring-boot,91fb4f22bdef6324110fcfc57bbecdf1f3e149b0,org.springframework.boot.cli.TestCommandIntegrationTests,appInOneFileTestsInAnotherFile,1
spring-boot,91fb4f22bdef6324110fcfc57bbecdf1f3e149b0,org.springframework.boot.cli.TestCommandIntegrationTests,empty,1
spring-boot,91fb4f22bdef6324110fcfc57bbecdf1f3e149b0,org.springframework.boot.cli.TestCommandIntegrationTests,noTests,1
spring-boot,91fb4f22bdef6324110fcfc57bbecdf1f3e149b0,org.springframework.boot.cli.TestCommandIntegrationTests,verifyFailures,1
spring-boot,91fb4f22bdef6324110fcfc57bbecdf1f3e149b0,org.springframework.boot.cli.command.CommandRunnerIntegrationTests,debugAddsAutoconfigReport,1
spring-boot,9af079721f0f82d6209750bc714494c7615fd59b,org.springframework.boot.cli.compiler.DependencyCustomizerTests,allMissingClassesWithAllClassesMissingPerformsAdd,2
spring-boot,9af079721f0f82d6209750bc714494c7615fd59b,org.springframework.boot.cli.compiler.DependencyCustomizerTests,allMissingClassesWithMixtureOfClassesDoesNotPerformAdd,2
spring-boot,9af079721f0f82d6209750bc714494c7615fd59b,org.springframework.boot.cli.compiler.DependencyCustomizerTests,allMissingClassesWithNoMissingClassesDoesNotPerformAdd,2
