Project,sha,class_,method,Found
ninja,58070079d7ba781afce3cc043cd981e9b91be8d8,controllers.ApplicationControllerTest,testThatHomepageWorks,2
ninja,5881dc74dc1e47012145c5384ff5bdbb89dcf2ca,controllers.ApiControllerDocTesterTest,testGetAndPostArticleViaJson,1
ninja,5881dc74dc1e47012145c5384ff5bdbb89dcf2ca,controllers.ApiControllerTest,testGetAndPostArticleViaJson,3
ninja,5881dc74dc1e47012145c5384ff5bdbb89dcf2ca,controllers.ApiControllerTest,testGetAndPostArticleViaXml,3
ninja,5881dc74dc1e47012145c5384ff5bdbb89dcf2ca,controllers.ApplicationControllerTest,testThatSetupInitializationCreatesTheTestUsers,1
ninja,5ee27aca86eeaefa7eff13b2b6185ace836754ae,controllers.ApiControllerDocTest,testGetAndPostArticleViaJson,2
ninja,5ee27aca86eeaefa7eff13b2b6185ace836754ae,controllers.ApiControllerTest,testGetAndPostArticleViaJson,2
ninja,5ee27aca86eeaefa7eff13b2b6185ace836754ae,controllers.ApiControllerTest,testGetAndPostArticleViaXml,2
ninja,5f4ad111be472161e6455f9ae42f513376491655,controllers.ApiControllerDocTest,testGetAndPostArticleViaJson,2
ninja,5f4ad111be472161e6455f9ae42f513376491655,controllers.ApiControllerDocTesterTest,testGetAndPostArticleViaJson,1
ninja,5f4ad111be472161e6455f9ae42f513376491655,controllers.ApiControllerTest,testGetAndPostArticleViaJson,2
ninja,5f4ad111be472161e6455f9ae42f513376491655,controllers.ApplicationControllerTest,testThatSetupInitializationCreatesTheTestUsers,1
ninja,615a97ff1e8fad3c676804c37aaf2563daea8046,controllers.ApplicationControllerTest,testThatHomepageWorks,2
ninja,61bc1f275b3a52b39f0b14ab896416de664e8db6,controllers.ApplicationControllerTest,testThatHomepageWorks,2
ninja,6c47516d762f94f1c25d6ec01d3b6fd09969ef87,controllers.ApplicationControllerTest,testThatHomepageWorks,2
ninja,6c6e49ed0ee1015930c855bab4d4145fdb6711d1,controllers.ApplicationControllerTest,testThatHomepageWorks,2
ninja,74f8cab5643b24dcaf82d8a0efcd1459a86e5f18,controllers.ApplicationControllerTest,testThatHomepageWorks,3
ninja,8095f0857282e5de9d124bfde9b636bb307eb138,controllers.ApplicationControllerTest,testThatHomepageWorks,2
