Project,sha,class_,method,Found
handlebars,5d6cc0f8cfa0b9fe8d2c97987fe2d3e90ff8efbb,com.github.jknack.handlebars.ToJavaScriptTest,toSharedJavaScript,1
handlebars,915a99bfc62449c7962a626a9d20429ddea7dece,com.github.jknack.handlebars.ToJavaScriptTest,toSharedJavaScript,1
handlebars,966cdd0f019e99bf362c18a54def368093ed0c5b,com.github.jknack.handlebars.ToJavaScriptTest,toSharedJavaScript,1
handlebars,f009c00cbe43b70d1bfb8deadb7a340431f1dd3e,com.github.jknack.handlebars.I18NHelperTest,customLocale,1
handlebars,f009c00cbe43b70d1bfb8deadb7a340431f1dd3e,com.github.jknack.handlebars.I18NHelperTest,defaultI18N,1
handlebars,f009c00cbe43b70d1bfb8deadb7a340431f1dd3e,com.github.jknack.handlebars.I18NHelperTest,escapeQuotes,1
handlebars,f009c00cbe43b70d1bfb8deadb7a340431f1dd3e,com.github.jknack.handlebars.I18NHelperTest,formattedMsg,1
